구 분,판매보증  (가),기술사용료  (나),장기성과급  (다),"기타충당부채 (라),(마)",계
기초,181342.0,1493290.0,624933.0,234619.0,2534184.0
순전입액(환입액),277882.0,738148.0,439942.0,140039.0,1596011.0
사용액,-270891.0,-429776.0,-487695.0,-255950.0,-1444312.0
기타(*),0.0,-138233.0,0.0,105239.0,-32994.0
기말,188333.0,1663429.0,577180.0,223947.0,2652889.0
