구 분,금 액
1. 2018년 12월 31일의 금융리스부채,0.0
2. 2019년 1월 1일의 운용리스 약정 조정내역,249034.0
- 2018년 12월 31일의 운용리스 약정,285567.0
- 2019년 1월 1일의 운용리스 약정 할인금액,269032.0
(조정) 단기리스 및 소액자산 리스 예외규정 적용,-19998.0
3. 2019년 1월 1일의 리스부채,249034.0
