구 분,전기말 | 수준 1,전기말 | 수준 2,전기말 | 수준 3,전기말 | 계
금융자산,,,,
기타포괄손익-공정가치금융자산,1022720.0,0.0,75845.0,1098565.0
당기손익-공정가치금융자산,0.0,0.0,7413.0,7413.0
금융부채,,,,
사채,0.0,57733.0,0.0,57733.0
