구 분,CE,IM,DS,계(*)
매출액,27230048.0,64289119.0,62787670.0,154772859.0
감가상각비,93710.0,190012.0,14502309.0,15201148.0
무형자산상각비,45272.0,1366641.0,806368.0,2385156.0
영업이익,971307.0,1425024.0,11793296.0,14115067.0
