구 분,당기말 | 매출채권,당기말 | 미수금,전기말 | 매출채권,전기말 | 미수금
채권액,26520599.0,2434262.0,25707615.0,1553362.0
차감: 손실충당금,-37992.0,-5331.0,-260588.0,-14912.0
소 계,26482607.0,2428931.0,25447027.0,1538450.0
차감: 장기 채권,-227169.0,-22136.0,-513760.0,-23371.0
유동항목,26255438.0,2406795.0,24933267.0,1515079.0
