구 분,당기말 | 평가전금액,당기말 | 평가충당금,당기말 | 장부금액,전기말 | 평가전금액,전기말 | 평가충당금,전기말 | 장부금액
제품 및 상품,2621083.0,-148012.0,2473071.0,3045263.0,-300008.0,2745255.0
반제품 및 재공품,7956962.0,-275685.0,7681277.0,8328324.0,-403623.0,7924701.0
원재료 및 저장품,2014689.0,-358132.0,1656557.0,1523979.0,-263632.0,1260347.0
미착품,390807.0,0.0,390807.0,510648.0,0.0,510648.0
계,12983541.0,-781829.0,12201712.0,13408214.0,-967263.0,12440951.0
