구 분,차입처,연이자율(%) | 당기말,금 액 | 당기말,금 액 | 전기말
(1) 단기차입금,(1) 단기차입금,,(1) 단기차입금,(1) 단기차입금
담보부차입금(*1),우리은행 외,,10228216.0,10353873.0
(2) 유동성장기차입금,(2) 유동성장기차입금,,(2) 유동성장기차입금,(2) 유동성장기차입금
리스부채(*2),-,2.1,148296.0,0.0
(3) 장기차입금,(3) 장기차입금,,(3) 장기차입금,(3) 장기차입금
리스부채(*2),-,2.1,174651.0,0.0
