구 분,기초,재무현금흐름,비현금흐름 | 상각,비현금흐름 | 기타(*),기말
단기차입금,12229701.0,-1796186.0,0.0,-79642.0,10353873.0
사채,52009.0,-5357.0,259.0,2045.0,48956.0
계,12281710.0,-1801543.0,259.0,-77597.0,10402829.0
