금융부채,상각후원가 측정 금융부채,기타금융부채(*),계
매입채무,7315631.0,0.0,7315631.0
단기차입금,0.0,10353873.0,10353873.0
미지급금,8255775.0,0.0,8255775.0
유동성장기부채,5440.0,0.0,5440.0
사채,43516.0,0.0,43516.0
장기미지급금,2231836.0,0.0,2231836.0
기타,2355676.0,0.0,2355676.0
계,20207874.0,10353873.0,30561747.0
