구분,삼성전기㈜,삼성에스디에스㈜,삼성바이오로직스㈜,삼성SDI㈜,㈜제일기획
요약 재무상태표:,,,,,
유동자산,3525293.0,5881776.0,1577684.0,5519342.0,1889015.0
비유동자산,5119621.0,2132073.0,4402725.0,13830379.0,378586.0
유동부채,2509584.0,1574797.0,710530.0,4012822.0,1251332.0
비유동부채,1188833.0,290501.0,1114410.0,3111680.0,123476.0
요약 포괄손익계산서:,,,,,
매출,8193023.0,10034219.0,535806.0,9158272.0,3468786.0
계속영업손익(*),656242.0,629340.0,224109.0,701166.0,129625.0
기타포괄손익(*),-26415.0,-49834.0,-2967.0,47261.0,-11256.0
총포괄손익(*),629827.0,579506.0,221142.0,748427.0,118369.0
