구분,일자,참석자,방식,주요 논의 내용
1,2019년 04월 29일,감사위원회 : 위원 3명 회사 : 감사팀장 외 1명 감사인 : 업무수행이사 외 1명,대면회의,연간 회계감사 일정 계획 분기 중점 검토 사항 논의 기타 감사계획단계 필수 커뮤니케이션 사항
2,2019년 07월 30일,감사위원회 : 위원 3명 회사 : 감사팀장 외 1명 감사인 : 업무수행이사 외 1명,대면회의,연간 감사계획 및 진행상황 핵심감사사항 선정계획 내부회계관리제도 감사 진행 상황 분기 중점 검토사항 및 기타 필수 커뮤니케이션 사항
3,2019년 10월 28일,감사위원회 : 위원 3명 회사 : 감사팀장 감사인 : 업무수행이사 외 1명,대면회의,핵심감사사항 선정 및 감사절차 계획 내부회계관리제도 감사 진행 상황 분기 중점 검토사항 및 기타 필수 커뮤니케이션 사항
4,2020년 01월 28일,감사위원회 : 위원 3명 회사 : 감사팀장 감사인 : 업무수행이사 외 1명,대면회의,핵심감사사항 등 중점 감사사항 내부회계관리제도 감사 진행 상황 기타 감사종료단계 필수 커뮤니케이션 사항
