구 분,금 액
Ⅰ. 이전대가의 공정가치,785000.0
Ⅱ. 식별가능한 자산과 부채로 인식된 금액,
재고자산,10906.0
유형자산,398984.0
무형자산,182171.0
기타자산,1561.0
기타부채,15363.0
총 식별가능한 순자산,578259.0
Ⅲ. 영업권 (Ⅰ- Ⅱ),206741.0
