구 분,판매보증  (가),기술사용료  (나),장기성과급  (다),"기타 (라),(마)",계
기초,245366.0,1015280.0,567016.0,497885.0,2325547.0
순전입(환입),399582.0,735544.0,388550.0,1524166.0,3047842.0
사용,-304130.0,-357148.0,-388562.0,-781974.0,-1831814.0
기타,0.0,-89658.0,0.0,-16414.0,-106072.0
기말,340818.0,1304018.0,567004.0,1223663.0,3435503.0
