구 분,당기말 | 수준 1,당기말 | 수준 2,당기말 | 수준 3,당기말 | 계
금융자산:,금융자산:,금융자산:,금융자산:,금융자산:
기타포괄손익-공정가치금융자산,1412524.0,0.0,127135.0,1539659.0
당기손익-공정가치금융자산,0.0,0.0,3107.0,3107.0
금융부채:,금융부채:,금융부채:,금융부채:,금융부채:
사채,0.0,36507.0,0.0,36507.0
