구분,기업명(*1),채권 등(*2),채무 등(*3)
종속기업,삼성디스플레이㈜,8791.0,110590.0
종속기업,"Samsung Electronics America, Inc. (SEA)",4386729.0,109808.0
종속기업,"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)",573990.0,1475012.0
종속기업,"Samsung (CHINA) Investment Co., Ltd. (SCIC)",114209.0,63247.0
종속기업,Harman과 그 종속기업(*4),0.0,11649.0
종속기업,"Samsung (China) Semiconductor Co., Ltd. (SCS)",58124.0,503142.0
종속기업,"Samsung Electronics Vietnam Co., Ltd. (SEV)",479330.0,1642273.0
종속기업,Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),348.0,0.0
종속기업,"Samsung Semiconductor, Inc. (SSI)",3904314.0,119569.0
종속기업,Samsung Asia Pte. Ltd. (SAPL),92692.0,38434.0
종속기업,"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",3310319.0,202.0
종속기업,"Samsung Display Vietnam Co., Ltd. (SDV)",118106.0,0.0
종속기업,Samsung Austin Semiconductor LLC. (SAS),6634.0,297169.0
종속기업,Samsung Eletronica da Amazonia Ltda. (SEDA),368591.0,938.0
종속기업,Samsung India Electronics Private Ltd. (SIEL),825400.0,283091.0
종속기업,"Thai Samsung Electronics Co., Ltd. (TSE)",76754.0,219580.0
종속기업,Samsung Electronics (UK) Ltd. (SEUK),250169.0,27984.0
종속기업,Samsung Electronics GmbH (SEG),674888.0,1999.0
종속기업,"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)",127677.0,502978.0
종속기업,Samsung Electronics Hungarian Private Co. Ltd. (SEH),83227.0,229.0
종속기업,Samsung Electronics Benelux B.V. (SEBN),114569.0,3363.0
종속기업,"Samsung Display Dongguan Co., Ltd. (SDD)",14237.0,0.0
종속기업,Samsung Electronics Europe Logistics B.V. (SELS),939206.0,1651.0
종속기업,Samsung Electronics France S.A.S (SEF),313893.0,340.0
종속기업,Samsung Japan Corporation (SJC),227020.0,57762.0
종속기업,기타,6543308.0,2253734.0
종속기업,종속기업 계,23612525.0,7724744.0
