구분,기업명(*1),채권 등,채무 등(*2)
관계기업 및 공동기업,삼성에스디에스㈜,36752.0,493346.0
관계기업 및 공동기업,삼성전기㈜,310.0,71041.0
관계기업 및 공동기업,삼성SDI㈜,107201.0,58274.0
관계기업 및 공동기업,㈜제일기획,76.0,393348.0
관계기업 및 공동기업,기타,103652.0,161686.0
관계기업 및 공동기업,관계기업 및 공동기업 계,247991.0,1177695.0
그 밖의 특수관계자,삼성물산㈜,212894.0,2300740.0
그 밖의 특수관계자,기타,16065.0,111425.0
그 밖의 특수관계자,그 밖의 특수관계자 계,228959.0,2412165.0
기타(*3),삼성엔지니어링㈜,441.0,523140.0
기타(*3),㈜에스원,1619.0,32165.0
기타(*3),기타,3133.0,20697.0
기타(*3),기타 계,5193.0,576002.0
