기업명(*),전기 | 자산,전기 | 부채,전기 | 매출액,전기 | 당기순이익
삼성디스플레이㈜,46543974.0,6421516.0,27088475.0,407791.0
"Samsung Electronics America, Inc. (SEA)",34704039.0,13992397.0,33859423.0,1127719.0
"Samsung (CHINA) Investment Co., Ltd. (SCIC)",14637222.0,11701871.0,3098948.0,581115.0
"Samsung (China) Semiconductor Co., Ltd. (SCS)",12370070.0,2678742.0,5445396.0,537037.0
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),10682847.0,7662042.0,0.0,21915.0
Samsung Asia Pte. Ltd. (SAPL),9137262.0,579618.0,1572146.0,1265359.0
Samsung Eletronica da Amazonia Ltda. (SEDA),7058719.0,1594907.0,7252673.0,887298.0
Samsung India Electronics Private Ltd. (SIEL),7042872.0,3588241.0,12902906.0,448678.0
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",5880616.0,4446885.0,26067175.0,265801.0
"Thai Samsung Electronics Co., Ltd. (TSE)",2912731.0,450833.0,3921248.0,144087.0
Samsung Electronics (UK) Ltd. (SEUK),2644358.0,1877903.0,4730414.0,104741.0
Samsung Electronics GmbH (SEG),2258269.0,2199561.0,5597323.0,4729.0
Samsung Electronics Hungarian Private Co. Ltd. (SEH),2109654.0,416160.0,2915812.0,106704.0
"Samsung SemiConductor Xian Co., Ltd. (SSCX)",2091092.0,1954875.0,4283163.0,53160.0
Samsung Electronics Europe Logistics B.V. (SELS),2027213.0,1891221.0,12540817.0,6531.0
