구 분,기초,재무현금흐름,비현금흐름 | 리스신규계약,비현금흐름 | 기타(*),기말
단기차입금,10353873.0,-41078.0,0.0,-84579.0,10228216.0
사채 및 장기차입금,48956.0,-128431.0,105440.0,342148.0,368113.0
계,10402829.0,-169509.0,105440.0,257569.0,10596329.0
