금융자산,당기,전기
기초,84536.0,83258.0
매입,39239.0,6701.0
매도,-74.0,-3105.0
평가(당기손익),0.0,-1458.0
평가(기타포괄손익),6541.0,733.0
기타,0.0,-1593.0
기말,130242.0,84536.0
