계 정 과 목,누적일시적차이 | 기초잔액,누적일시적차이 | 증감액,누적일시적차이 | 기말잔액,이연법인세자산(부채) | 기초 이연법인세 자산(부채),이연법인세자산(부채) | 증감액,이연법인세자산(부채) | 기말 이연법인세 자산(부채)
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,-3422280.0,4476.0,-3417804.0,-941127.0,1231.0,-939896.0
"종속기업, 관계기업 및 공동기업 투자(*1)",-3994444.0,0.0,-3994444.0,-773181.0,-135837.0,-909018.0
감가상각누계액 등,203845.0,-95398.0,108447.0,56057.0,-26234.0,29823.0
미수수익,-233775.0,78762.0,-155013.0,-64288.0,21660.0,-42628.0
충당부채 및 미지급비용 등,6943148.0,301400.0,7244548.0,1909366.0,82885.0,1992251.0
외화평가조정,-100849.0,-23604.0,-124453.0,-27734.0,-6490.0,-34224.0
자산손상,1346297.0,264790.0,1611087.0,370232.0,72817.0,443049.0
퇴직급여,-1483954.0,-1218784.0,-2702738.0,-408087.0,-335166.0,-743253.0
분할 시 투자주식 평가증(*2),10586822.0,0.0,10586822.0,0.0,0.0,0.0
기타,1153228.0,-686452.0,466776.0,216946.0,-275082.0,-58136.0
소 계,10998038.0,-1374810.0,9623228.0,338184.0,-600216.0,-262032.0
2) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,77602.0,170268.0,247870.0,77602.0,170267.0,247869.0
3) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,-31393.0,-102738.0,-134131.0,-8633.0,-28253.0,-36886.0
순확정급여부채(자산) 재측정요소,899284.0,1276079.0,2175363.0,247303.0,350922.0,598225.0
소 계,867891.0,1173341.0,2041232.0,238670.0,322669.0,561339.0
이연법인세자산(부채) 계,,,,654456.0,-107280.0,547176.0
