구 분,당기말 | 평가전금액,당기말 | 평가충당금,당기말 | 장부금액,전기말 | 평가전금액,전기말 | 평가충당금,전기말 | 장부금액
제품 및 상품,2535410.0,-118007.0,2417403.0,2621083.0,-148012.0,2473071.0
반제품 및 재공품,8904968.0,-65773.0,8839195.0,7956962.0,-275685.0,7681277.0
원재료 및 저장품,2544706.0,-379326.0,2165380.0,2014689.0,-358132.0,1656557.0
미착품,409394.0,0.0,409394.0,390807.0,0.0,390807.0
계,14394478.0,-563106.0,13831372.0,12983541.0,-781829.0,12201712.0
