구 분,산업재산권,개발비,회원권,영업권,기타,계
기초장부금액,982357.0,704734.0,189398.0,0.0,1024987.0,2901476.0
개별 취득,261071.0,0.0,0.0,0.0,1103793.0,1364864.0
내부개발에 의한 취득,0.0,285699.0,0.0,0.0,0.0,285699.0
사업결합으로 인한 취득,130299.0,51872.0,0.0,206741.0,0.0,388912.0
상각,-190558.0,-279709.0,0.0,0.0,-1914889.0,-2385156.0
처분ㆍ폐기,-51506.0,0.0,-1240.0,0.0,-934.0,-53680.0
손상(환입),0.0,0.0,-972.0,0.0,0.0,-972.0
기타(*),11939.0,-21860.0,0.0,0.0,5517431.0,5507510.0
기말장부금액,1143602.0,740736.0,187186.0,206741.0,5730388.0,8008653.0
