구 분,당기 | 매출채권,당기 | 미수금,전기 | 매출채권,전기 | 미수금
기초,37992.0,5331.0,260588.0,14912.0
대손상각(환입),-489.0,1739.0,-222589.0,-9578.0
제각,-34.0,-56.0,0.0,-3.0
기타,0.0,0.0,-7.0,0.0
기말,37469.0,7014.0,37992.0,5331.0
