구 분,기업명(*1),채권 등,채무 등(*2)
관계기업 및 공동기업,삼성에스디에스㈜,19584.0,583369.0
관계기업 및 공동기업,삼성전기㈜,2397.0,156536.0
관계기업 및 공동기업,삼성SDI㈜,102523.0,96955.0
관계기업 및 공동기업,㈜제일기획,46.0,409411.0
관계기업 및 공동기업,기타,41555.0,139910.0
관계기업 및 공동기업,관계기업 및 공동기업 계,166105.0,1386181.0
그 밖의 특수관계자,삼성물산㈜,201947.0,1161055.0
그 밖의 특수관계자,기타,14027.0,105558.0
그 밖의 특수관계자,그 밖의 특수관계자 계,215974.0,1266613.0
기타(*3),삼성엔지니어링㈜,2689.0,615831.0
기타(*3),㈜에스원,786.0,42239.0
기타(*3),기타,3361.0,31652.0
기타(*3),기타 계,6836.0,689722.0
