구 분,당기말 | 매출채권,당기말 | 미수금,전기말 | 매출채권,전기말 | 미수금
채권액,24841610.0,1915583.0,26520599.0,2434262.0
차감: 손실충당금,-37469.0,-7014.0,-37992.0,-5331.0
소 계,24804141.0,1908569.0,26482607.0,2428931.0
차감: 장기 채권,-67401.0,-9986.0,-227169.0,-22136.0
유동항목,24736740.0,1898583.0,26255438.0,2406795.0
