구 분,기초,재무현금흐름,비현금흐름 | 리스신규계약,비현금흐름 | 기타(*),기말
단기차입금,10228216.0,2326350.0,0.0,-34199.0,12520367.0
사채 및 장기차입금,368113.0,-134443.0,61789.0,-25582.0,269877.0
계,10596329.0,2191907.0,61789.0,-59781.0,12790244.0
