구 분,당기말 | 장부금액,당기말 | 공정가치,전기말 | 장부금액,전기말 | 공정가치
금융자산:,,금융자산:,,금융자산:
현금및현금성자산,989045.0,(*1),2081917.0,(*1)
단기금융상품,29101284.0,(*1),26501392.0,(*1)
매출채권,24736740.0,(*1),26255438.0,(*1)
기타포괄손익-공정가치금융자산,1539659.0,1539659,1206080.0,1206080
당기손익-공정가치금융자산,3107.0,3107,3181.0,3181
기타,4149950.0,(*1),4307370.0,(*1)
계,60519785.0,,60355378.0,
금융부채:,,금융부채:,,금융부채:
매입채무,6599025.0,(*1),7547273.0,(*1)
단기차입금,12520367.0,(*1),10228216.0,(*1)
미지급금,9671280.0,(*1),9031752.0,(*1)
유동성장기부채,87571.0,(*2),153942.0,(*2)
사채,31909.0,36507,39520.0,52144
장기차입금,150397.0,(*2),174651.0,(*2)
장기미지급금,935038.0,(*1),1305278.0,(*1)
기타,3423251.0,(*1),2458165.0,(*1)
계,33418838.0,,30938797.0,
