구 분,토지,건물및구축물,기계장치,기타,계
기초장부금액,0.0,0.0,0.0,0.0,0.0
일반취득,3055.0,86919.0,3863.0,11603.0,105440.0
감가상각,-352.0,-64472.0,-50603.0,-15859.0,-131286.0
처분ㆍ폐기,0.0,-2009.0,0.0,-1586.0,-3595.0
기타(*),0.0,156886.0,164262.0,214694.0,535842.0
기말장부금액,2703.0,177324.0,117522.0,208852.0,506401.0
