구 분,공정가치,가치평가기법,'수준 3' 투입변수,투입변수 범위(가중평균)
기타포괄손익-공정가치금융자산:,,기타포괄손익-공정가치금융자산:,기타포괄손익-공정가치금융자산:,
㈜말타니,9121.0,현금흐름할인법,영구성장률,
㈜말타니,9121.0,현금흐름할인법,가중평균자본비용,
삼성벤처투자㈜,22060.0,현금흐름할인법,영구성장률,
삼성벤처투자㈜,22060.0,현금흐름할인법,가중평균자본비용,
