금융자산,대여금 및 수취채권,매도가능금융자산,합계
현금및현금성자산,1643318.0,0.0,1643318.0
단기금융상품,26454093.0,0.0,26454093.0
단기매도가능금융자산,0.0,2137533.0,2137533.0
매출채권,18940786.0,0.0,18940786.0
장기매도가능금융자산,0.0,7106234.0,7106234.0
기타,4784332.0,100051.0,4884383.0
계,51822529.0,9343818.0,61166347.0
