구 분,발행일,만기상환일,연이자율(%) | 당기말,금 액 | 당기말,금 액 | 전기말
US$ denominated  Straight Bonds,1997.10.2,2027.10.1,7.7,"71,448 (US$ 65,000천)","73,871 (US$ 70,000천)"
1년이내 만기도래분,1년이내 만기도래분,1년이내 만기도래분,,-5496.0,-5277.0
사채할인발행차금,사채할인발행차금,사채할인발행차금,,-2304.0,-2515.0
계,계,계,,63648.0,66079.0
