기 업 명,당기말 | 보유주식수(주),당기말 | 지분율(%),당기말 | 취득원가,당기말 | 장부가액,전기말 | 장부가액
기협기술금융,1000000.0,17.2,5000.0,5000.0,5000.0
부산신항만(*1),1135307.0,1.0,5677.0,5677.0,5677.0
삼성벤처투자,980000.0,16.3,4900.0,6586.0,7021.0
삼성석유화학(*2),0.0,,0.0,0.0,80347.0
삼성종합화학(*2),0.0,,0.0,0.0,80653.0
태원전기산업,45000.0,15.0,16544.0,17094.0,17072.0
팬택(*3),53000000.0,10.0,53000.0,0.0,53053.0
기타,0.0,,59367.0,47576.0,39347.0
계,,,144488.0,81933.0,288170.0
