구 분,전기말 | Level 1,전기말 | Level 2,전기말 | Level 3,전기말 | 합계
자 산,,,,
단기매도가능금융자산,1257492.0,231035.0,0.0,1488527.0
장기매도가능금융자산,2715251.0,953531.0,288170.0,3956952.0
