금융부채,상각후원가로 측정하는 금융부채,기타금융부채,합계
매입채무,5742116.0,0.0,5742116.0
단기차입금,0.0,2811565.0,2811565.0
미지급금,5299184.0,0.0,5299184.0
유동성사채,5083.0,0.0,5083.0
사채,66079.0,0.0,66079.0
장기미지급금,769002.0,0.0,769002.0
기타,5507676.0,0.0,5507676.0
계,17389140.0,2811565.0,20200705.0
