구 분,산업재산권,개발비,회원권,영업권,기타의 무형자산,합 계
기초장부가액,827953.0,752669.0,145332.0,79277.0,690071.0,2495302.0
내부개발에 의한 취득,0.0,940001.0,0.0,0.0,0.0,940001.0
개별 취득,271831.0,0.0,4380.0,0.0,37896.0,314107.0
상각,-136339.0,-396078.0,0.0,0.0,-359111.0,-891528.0
처분/폐기,-39126.0,0.0,0.0,0.0,-370.0,-39496.0
손상,0.0,-56659.0,0.0,0.0,0.0,-56659.0
기타 (*),1415.0,0.0,0.0,0.0,288422.0,289837.0
기말장부가액,925734.0,1239933.0,149712.0,79277.0,656908.0,3051564.0
