구 분,CE,IM,DS,계(*)
매출액,"27,230,048","64,289,119","62,787,670","154,772,859"
감가상각비,"93,710","190,012","14,502,309","15,201,148"
무형자산상각비,"45,272","1,366,641","806,368","2,385,156"
영업이익,"971,307","1,425,024","11,793,296","14,115,067"
