기 업 명,당기말,,,,전기말
보유주식수(주),지분율(%)(*),취득원가,장부금액(시장가치),장부금액(시장가치),
삼성중공업㈜,"134,027,281",15.2,"932,158","1,514,508","1,038,712"
㈜호텔신라,"2,004,717",5.1,"13,957","73,974","131,108"
㈜아이마켓코리아,"647,320",1.9,324,"5,179","5,560"
㈜케이티스카이라이프,"240,000",0.5,"3,344","1,134","1,421"
모나용평㈜,"400,000",0.8,"1,869","1,284","1,220"
㈜에이테크솔루션,"1,592,000",15.9,"26,348","8,804","17,241"
㈜원익홀딩스,"1,759,171",2.3,"15,410","4,486","5,928"
㈜원익아이피에스,"1,850,936",3.8,"16,214","41,368","62,839"
㈜동진쎄미켐,"2,467,894",4.8,"48,277","51,579","95,508"
솔브레인㈜,"437,339",5.6,"40,382","72,336","132,952"
㈜에스앤에스텍,"1,716,116",8.0,"65,933","43,933","77,740"
㈜와이씨,"9,601,617",11.7,"47,336","98,033","47,864"
㈜케이씨텍,"1,022,216",4.9,"20,720","26,629","27,395"
㈜엘오티베큠,"1,267,668",7.1,"18,990","10,585","25,544"
㈜뉴파워프라즈마,"2,140,939",4.9,"12,739","9,463","11,240"
㈜에프에스티,"1,522,975",7.0,"43,009","23,956","37,541"
㈜디엔에프,"810,030",7.0,"20,964","7,144","19,400"
"Marvell Technology, Inc.","173,187",0.0,"11,705","28,119","13,468"
"SoundHound AI, Inc.","1,702,957",0.5,"13,719","49,666","4,655"
계,,,"1,353,398","2,072,180","1,757,336"
