구 분,유통보통주식수,유통우선주식수
전기초,"119,688,369","16,530,409"
자기주식 취득,"(292,718)","(72,675)"
주식분할(*),"5,850,386,899","806,428,966"
전기말,"5,969,782,550","822,886,700"
당기말,"5,969,782,550","822,886,700"
