내 역,금액,
당기말,전기말,
임대주택 관련 채무보증(*),"8,956","10,778"
해외종속기업에 대한 채무보증(한도 기준),"US$ 9,434(원화환산액: \11,401,171)","US$ 9,484(원화환산액: \11,115,248)"
해외종속기업에 대한 채무보증(실차입금 기준),"US$ 1,618(원화환산액: \1,954,777)","US$ 1,791(원화환산액: \2,099,153)"
