감사참여자 ＼ 인원수 및 시간,,품질관리검토자(심리실 등),,감사업무 담당 회계사,,,,,,전산감사ㆍ세무ㆍ가치평가 등 전문가,,건설계약 등수주산업전문가,,합계,
담당이사(업무수행이사),,등록공인회계사,,수습공인회계사,,,,,,,,,,,
당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,,
투입 인원수,,10,10,1,1,46,45,12,23,47,45,-,-,116,124
투입시간,분ㆍ반기검토,68,59,264,222,"23,006","22,096","4,660","7,149","3,274","4,801",-,-,"31,272","34,327"
감사,278,412,574,777,"21,062","22,142","5,355","7,145","18,289","20,233",-,-,"45,558","50,709",
합계,346,471,838,999,"44,068","44,238","10,015","14,294","21,563","25,034",-,-,"76,830","85,036",
