구 분,산업재산권,개발비,회원권,영업권,기타의무형자산,계
기초장부가액,"925,734","1,239,933","149,712","79,277","656,908","3,051,564"
내부개발에 의한 취득,-,"1,143,059",-,-,-,"1,143,059"
개별 취득,"198,655",-,"1,929",-,"22,031","222,615"
상각,"(151,607)","(607,526)",-,-,"(241,405)","(1,000,538)"
처분/폐기,"(22,036)",-,(48),-,(364),"(22,448)"
손상,-,"(76,703)",-,"(79,277)",-,"(155,980)"
기타,(247),"(1,218)",-,-,"170,422","168,957"
기말장부가액,"950,499","1,697,545","151,593",-,"607,592","3,407,229"
