구 분,당기말,전기말
기타포괄손익-공정가치금융자산평가손익,"90,579","190,495"
순확정급여부채(자산) 재측정요소,"(2,732,997)","(2,219,688)"
기타,"1,760,408","1,760,408"
계,"(882,010)","(268,785)"
