과 목,주석,제 48 (당) 기,,제 47 (전) 기,
자 산,,,,,
Ⅰ. 유 동 자 산,,,"69,981,128",,"67,002,055"
1. 현금및현금성자산,"4, 6, 7, 31","3,778,371",,"3,062,960",
2. 단기금융상품,"5, 6, 7, 31","30,170,656",,"27,763,589",
3. 단기매도가능금융자산,"6, 9, 31",-,,"3,021,210",
4. 매출채권,"6, 7, 10, 31","23,514,012",,"20,251,464",
5. 미수금,10,"2,319,782",,"2,314,823",
6. 선급금,,"814,300",,"1,105,216",
7. 선급비용,,"2,375,520",,"1,980,305",
8. 재고자산,11,"5,981,634",,"6,578,112",
9. 기타유동자산,,"743,163",,"847,303",
10. 매각예정분류자산,33,"283,690",,"77,073",
Ⅱ. 비 유 동 자 산,,,"104,821,831",,"101,967,575"
1. 장기매도가능금융자산,"6, 9, 31","913,989",,"3,205,283",
"2. 종속기업, 관계기업 및 공동기업 투자",12,"48,743,079",,"44,107,398",
3. 유형자산,13,"47,228,830",,"45,148,629",
4. 무형자산,14,"2,891,844",,"3,407,229",
5. 장기선급비용,,"3,507,399",,"3,845,119",
6. 순확정급여자산,17,"557,091",,"56,174",
7. 이연법인세자산,28,"110,239",,"865,903",
8. 기타비유동자산,,"869,360",,"1,331,840",
자 산 총 계,,,"174,802,959",,"168,969,630"
부 채,,,,,
Ⅰ. 유 동 부 채,,,"34,076,122",,"29,630,488"
1. 매입채무,"6, 31","6,162,650",,"3,887,983",
2. 단기차입금,"6, 8, 15, 31","9,061,167",,"7,127,527",
3. 미지급금,"6, 31","7,635,740",,"5,952,236",
4. 선수금,,"200,445",,"160,990",
5. 예수금,,"389,528",,"341,806",
6. 미지급비용,,"6,284,646",,"6,126,350",
7. 미지급법인세,,"2,055,829",,"1,802,344",
8. 유동성장기부채,"6, 16, 31","5,854",,"5,666",
9. 충당부채,18,"2,221,717",,"4,207,745",
10. 기타유동부채,,"58,546",,"17,841",
Ⅱ. 비 유 동 부 채,,,"3,180,075",,"2,910,887"
1. 사채,"6, 16, 31","58,542",,"62,326",
2. 장기미지급금,"6, 31","2,808,460",,"2,387,934",
3. 장기충당부채,18,"312,467",,"457,290",
4. 기타비유동부채,,606,,"3,337",
부 채 총 계,,,"37,256,197",,"32,541,375"
자 본,,,,,
Ⅰ. 자본금,20,,"897,514",,"897,514"
1. 우선주자본금,,"119,467",,"119,467",
2. 보통주자본금,,"778,047",,"778,047",
Ⅱ. 주식발행초과금,,,"4,403,893",,"4,403,893"
Ⅲ. 이익잉여금,21,,"140,747,574",,"143,629,177"
Ⅳ. 기타자본항목,23,,"(8,502,219)",,"(12,526,126)"
Ⅴ. 매각예정분류기타자본항목,33,,-,,"23,797"
자 본 총 계,,,"137,546,762",,"136,428,255"
부채와자본총계,,,"174,802,959",,"168,969,630"
