과 목,주 석,제 50 (당) 기,,제 49 (전) 기,
Ⅰ. 매 출 액,,,"170,381,870",,"161,915,007"
Ⅱ. 매 출 원 가,24,,"101,666,506",,"101,399,657"
Ⅲ. 매 출 총 이 익,,,"68,715,364",,"60,515,350"
판매비와관리비,"24, 25","25,015,913",,"25,658,259",
Ⅳ. 영 업 이 익,,,"43,699,451",,"34,857,091"
기 타 수 익,26,"972,145",,"2,767,967",
기 타 비 용,26,"504,562",,"1,065,014",
금 융 수 익,27,"3,737,494",,"4,075,602",
금 융 비 용,27,"3,505,673",,"4,102,094",
Ⅴ. 법인세비용차감전순이익,,,"44,398,855",,"36,533,552"
법 인 세 비 용,28,"11,583,728",,"7,732,715",
Ⅵ. 당 기 순 이 익,,,"32,815,127",,"28,800,837"
Ⅶ. 주 당 이 익,29,,,,
기본주당이익(단위:원),,,"4,830",,"4,178"
희석주당이익(단위:원),,,"4,830",,"4,178"
