구 분,기초,재무현금흐름,비현금흐름,,기말
리스신규계약,기타(*),,,,
단기차입금,"5,625,163","5,316,919",-,"168,890","11,110,972"
사채 및 장기차입금,"23,149,590","(217,305)","199,042","(56,868)","23,074,459"
계,"28,774,753","5,099,614","199,042","112,022","34,185,431"
