구 분,DX 부문,DS 부문,계(*)
매출액,"109,294,016","108,861,352","209,052,241"
감가상각비,"565,540","29,518,534","30,285,298"
무형자산상각비,"1,595,847","605,793","2,432,272"
영업이익,"1,474,559","10,886,378","12,361,034"
