구 분,당기말,전기말
12개월 이내에 결제될 이연법인세자산(부채),"935,016","(589,262)"
12개월 이후에 결제될 이연법인세자산(부채),"(1,299,382)","(1,364,909)"
계,"(364,366)","(1,954,171)"
