구분,삼성전기,삼성에스디에스,삼성바이오로직스,삼성SDI,제일기획
수익(매출),"6,033,040","8,180,187","294,622","5,200,823","3,232,594"
계속영업손익(*),"14,707","463,858","(176,832)","(878,504)","88,263"
세후중단영업이익(*),-,-,-,"1,089,615",-
기타포괄손익(*),"41,212","35,664",108,"(222,175)","(13,711)"
총포괄손익(*),"55,919","499,522","(176,724)","(11,064)","74,552"
