구 분,당기말,전기말
12개월 이내에 결제될 이연법인세자산(부채),"1,199,449","1,482,209"
12개월 이후에 결제될 이연법인세자산(부채),"(613,288)","(1,371,970)"
계,"586,161","110,239"
