구분,삼성전기,삼성에스디에스,삼성바이오로직스,삼성SDI,제일기획
유동자산,"2,812,409","4,548,448","1,461,425","3,958,266","1,794,812"
비유동자산,"4,850,220","2,293,556","6,071,580","10,942,046","356,619"
유동부채,"2,043,155","1,347,385","2,476,545","2,212,796","1,244,899"
비유동부채,"1,281,889","203,495","974,089","1,723,405","130,248"
순자산,"4,337,585","5,291,124","4,082,371","10,964,111","776,284"
