구 분,당기말,전기말
12개월 이내에 회수(결제)될 이연법인세자산(부채),"2,267,807","2,837,162"
12개월 이후에 회수(결제)될 이연법인세자산(부채),"(125,295)","(1,626,062)"
계,"2,142,512","1,211,100"
