구 분,기초,재무현금흐름,비현금흐름,,기말
리스신규계약,기타(*),,,,
단기차입금,"2,381,512","3,274,337",-,"(30,686)","5,625,163"
사채 및 장기차입금,"815,644","21,804,684","567,652","(38,390)","23,149,590"
계,"3,197,156","25,079,021","567,652","(69,076)","28,774,753"
