금융부채,상각후원가측정 금융부채,기타금융부채(*),계
매입채무,"8,729,315",-,"8,729,315"
단기차입금,-,"2,381,512","2,381,512"
미지급금,"18,324,604",-,"18,324,604"
유동성장기부채,"6,228","129,525","135,753"
사채,"24,912",-,"24,912"
장기차입금,-,"654,979","654,979"
장기미지급금,"2,083,790",-,"2,083,790"
기타,"3,145,473",-,"3,145,473"
계,"32,314,322","3,166,016","35,480,338"
