구 분,당기말,,,전기말,,
평가전금액,평가충당금(*),장부가액,평가전금액,평가충당금(*),장부가액,
제품 및 상품,"3,045,263","(300,008)","2,745,255","2,187,441","(484,364)","1,703,077"
반제품 및 재공품,"8,328,324","(403,623)","7,924,701","4,512,627","(124,510)","4,388,117"
원재료 및 저장품,"1,523,979","(263,632)","1,260,347","1,643,250","(263,886)","1,379,364"
미착품,"510,648",-,"510,648","366,586",-,"366,586"
계,"13,408,214","(967,263)","12,440,951","8,709,904","(872,760)","7,837,144"
