과 목,주 석,제 54 (당) 기,,제 53 (전) 기,
Ⅰ. 영업활동 현금흐름,,,"44,788,749",,"51,250,069"
1. 영업에서 창출된 현금흐름,,"49,589,897",,"50,357,361",
가. 당기순이익,,"25,418,778",,"30,970,954",
나. 조정,27,"31,039,388",,"25,168,062",
다. 영업활동으로 인한 자산부채의 변동,27,"(6,868,269)",,"(5,781,655)",
2. 이자의 수취,,"339,560",,"282,918",
3. 이자의 지급,,"(287,488)",,"(125,036)",
4. 배당금 수입,,"3,551,435",,"6,560,011",
5. 법인세 납부액,,"(8,404,655)",,"(5,825,185)",
Ⅱ. 투자활동 현금흐름,,,"(28,123,886)",,"(24,435,207)"
1. 단기금융상품의 순감소(증가),,"15,000,439",,"13,600,708",
2. 기타포괄손익-공정가치금융자산의 처분,,"10,976",,-,
3. 기타포괄손익-공정가치금융자산의 취득,,-,,"(234,975)",
4. 당기손익-공정가치금융자산의 처분,,"1,744",,912,
"5. 종속기업, 관계기업 및 공동기업 투자의 처분",,"165,089",,"605,607",
"6. 종속기업, 관계기업 및 공동기업 투자의 취득",,"(1,001,723)",,"(138,858)",
7. 유형자산의 처분,,"288,684",,"408,560",
8. 유형자산의 취득,,"(39,160,176)",,"(36,021,504)",
9. 무형자산의 처분,,"6,242",,"5,809",
10. 무형자산의 취득,,"(3,298,378)",,"(2,459,929)",
11. 기타투자활동으로 인한 현금유출입액,,"(136,783)",,"(201,537)",
Ⅲ. 재무활동 현금흐름,,,"(16,665,064)",,"(23,885,054)"
1. 단기차입금의 순증가(감소),27,"(6,700,826)",,"(3,288,858)",
2. 사채 및 장기차입금의 상환,27,"(155,264)",,"(117,963)",
3. 배당금의 지급,,"(9,808,974)",,"(20,478,233)",
Ⅳ. 외화환산으로 인한 현금의 변동,,,"2,922",,19
Ⅴ. 현금및현금성자산의 증가(감소)(Ⅰ+Ⅱ+Ⅲ+Ⅳ),,,"2,721",,"2,929,827"
Ⅵ. 기초의 현금및현금성자산,,,"3,918,872",,"989,045"
Ⅶ. 기말의 현금및현금성자산,,,"3,921,593",,"3,918,872"
