구 분,당기말,전기말
12개월 이내에 회수(결제)될 이연법인세자산(부채),"5,055,283","2,267,807"
12개월 이후에 회수(결제)될 이연법인세자산(부채),"4,876,075","(125,295)"
계,"9,931,358","2,142,512"
