구 분,토지,건물및구축물,기계장치,기타,계
기초장부금액,-,-,-,-,-
일반취득,"3,055","86,919","3,863","11,603","105,440"
감가상각,(352),"(64,472)","(50,603)","(15,859)","(131,286)"
처분ㆍ폐기,-,"(2,009)",-,"(1,586)","(3,595)"
기타(*),-,"156,886","164,262","214,694","535,842"
기말장부금액,"2,703","177,324","117,522","208,852","506,401"
