구 분,,당기,전기
배당받은주식,보통주,"129,312,651주","130,962,651주"
우선주,"19,603,734주","19,853,734주",
배당률(액면가 기준),,20%,10%
배당금액,보통주,"129,313","65,481"
우선주,"19,603","9,927",
계,"148,916","75,408",
