과 목,주석,제 55 (당) 기,,제 54 (전) 기,
자 산,,,,,
Ⅰ. 유 동 자 산,,,"68,548,442",,"59,062,658"
1. 현금및현금성자산,"4, 28","6,061,451",,"3,921,593",
2. 단기금융상품,"4, 28","50,071",,137,
3. 매출채권,"4, 5, 7, 28","27,363,016",,"20,503,223",
4. 미수금,"4, 7, 28","1,910,054",,"2,925,006",
5. 선급비용,,"1,349,755",,"1,047,900",
6. 재고자산,8,"29,338,151",,"27,990,007",
7. 기타유동자산,"4, 28","2,475,944",,"2,674,792",
Ⅱ. 비 유 동 자 산,,,"228,308,847",,"201,021,092"
1. 기타포괄손익-공정가치금융자산,"4, 6, 28","1,854,503",,"1,364,325",
2. 당기손익-공정가치금융자산,"4, 6, 28",1,,283,
"3. 종속기업, 관계기업 및 공동기업 투자",9,"57,392,438",,"57,397,249",
4. 유형자산,10,"140,579,161",,"123,266,986",
5. 무형자산,11,"10,440,211",,"8,561,424",
6. 순확정급여자산,14,"3,745,697",,"4,410,223",
7. 이연법인세자산,25,"9,931,358",,"2,142,512",
8. 기타비유동자산,"4, 7, 28","4,365,478",,"3,878,090",
자 산 총 계,,,"296,857,289",,"260,083,750"
부 채,,,,,
Ⅰ. 유 동 부 채,,,"41,775,101",,"46,086,047"
1. 매입채무,"4, 28","7,943,834",,"8,729,315",
2. 단기차입금,"4, 5, 12, 28","5,625,163",,"2,381,512",
3. 미지급금,"4, 28","15,256,046",,"18,554,543",
4. 선수금,17,"302,589",,"320,689",
5. 예수금,"4, 28","445,470",,"523,354",
6. 미지급비용,"4, 17, 28","6,931,991",,"8,359,296",
7. 당기법인세부채,,-,,"2,533,481",
8. 유동성장기부채,"4, 12, 13, 28","228,491",,"135,753",
9. 충당부채,15,"4,540,702",,"4,059,491",
10. 기타유동부채,17,"500,815",,"488,613",
Ⅱ. 비 유 동 부 채,,,"30,294,414",,"4,581,512"
1. 사채,"4, 13, 28","19,064",,"24,912",
2. 장기차입금,"4, 12, 28","22,902,035",,"654,979",
3. 장기미지급금,"4, 28","4,942,826",,"2,439,232",
4. 장기충당부채,15,"2,413,133",,"1,423,165",
5. 기타비유동부채,,"17,356",,"39,224",
부 채 총 계,,,"72,069,515",,"50,667,559"
자 본,,,,,
Ⅰ. 자본금,18,,"897,514",,"897,514"
1. 우선주자본금,,"119,467",,"119,467",
2. 보통주자본금,,"778,047",,"778,047",
Ⅱ. 주식발행초과금,,,"4,403,893",,"4,403,893"
Ⅲ. 이익잉여금,19,,"219,963,351",,"204,388,016"
Ⅳ. 기타자본항목,20,,"(476,984)",,"(273,232)"
자 본 총 계,,,"224,787,774",,"209,416,191"
부 채 와 자 본 총 계,,,"296,857,289",,"260,083,750"
