구 분,산업재산권,개발비,회원권,기타,계
기초장부금액,"1,193,286","85,018","199,870","7,083,250","8,561,424"
개별 취득,"371,570",-,"1,069","4,174,044","4,546,683"
상각,"(229,849)","(85,018)",-,"(2,299,322)","(2,614,189)"
처분ㆍ폐기,"(40,944)",-,"(7,850)",(560),"(49,354)"
손상(환입),"(6,265)",-,"3,738","(3,114)","(5,641)"
기타,-,-,-,"1,288","1,288"
기말장부금액,"1,287,798",-,"196,827","8,955,586","10,440,211"
