구 분,차입처,연이자율(%),금 액,
당기말,당기말,전기말,,
단기차입금:,,,,
담보부차입금(*1),우리은행 등,0.0 ~ 8.7,"9,204,268","12,520,367"
유동성장기차입금:,,,,
리스부채(*2),-,1.2,"133,518","82,253"
장기차입금:,,,,
리스부채(*2),-,1.2,"431,915","150,397"
