구 분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부금액,"7,752,989","23,246,622","61,426,540","28,768,364","2,072,471","123,266,986"
- 취득원가,"7,754,559","36,449,026","199,823,339","28,768,364","4,886,059","277,681,347"
- 감가상각누계액(손상 포함),"(1,570)","(13,202,404)","(138,396,799)",-,"(2,813,588)","(154,414,361)"
일반취득 및 자본적지출(*),"131,535","5,509,158","31,107,219","5,907,608","461,345","43,116,865"
감가상각,"(1,003)","(2,135,709)","(22,908,637)",-,"(574,245)","(25,619,594)"
처분ㆍ폐기,"(2,277)","(25,652)","(95,125)",-,"(5,330)","(128,384)"
손상,-,"(27,715)","(24,920)",-,"(1,547)","(54,182)"
기타,(22),"(2,408)","(12,290)",(641),"12,831","(2,530)"
기말장부금액,"7,881,222","26,564,296","69,492,787","34,675,331","1,965,525","140,579,161"
- 취득원가,"7,883,620","41,814,348","228,287,817","34,675,331","5,182,709","317,843,825"
- 감가상각누계액(손상 포함),"(2,398)","(15,250,052)","(158,795,030)",-,"(3,217,184)","(177,264,664)"
