구 분,유통보통주식수,유통우선주식수
전기초,"5,969,782,550","822,886,700"
- 자기주식의 취득,-,-
전기말,"5,969,782,550","822,886,700"
당기초,"5,969,782,550","822,886,700"
- 자기주식의 취득,"(29,700,000)","(4,050,000)"
당기말,"5,940,082,550","818,836,700"
