구 분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부금액,"7,800,435","19,087,134","43,749,609","13,994,259","1,535,487","86,166,924"
- 취득원가,"7,801,259","28,992,675","146,778,918","13,994,259","3,535,985","201,103,096"
- 감가상각누계액(손상 포함),(824),"(9,905,541)","(103,029,309)",-,"(2,000,498)","(114,936,172)"
일반취득 및 자본적지출(*),"5,295","4,385,819","31,501,402","1,339,173","607,076","37,838,765"
감가상각,(406),"(1,614,006)","(18,016,803)",-,"(532,894)","(20,164,109)"
처분ㆍ폐기,"(24,319)","(5,104)","(108,737)",-,"(5,402)","(143,562)"
기타,(11),"(12,027)","9,842","(25,930)","(2,867)","(30,993)"
기말장부금액,"7,780,994","21,841,816","57,135,313","15,307,502","1,601,400","103,667,025"
- 취득원가,"7,782,125","33,244,532","175,487,461","15,307,502","4,022,759","235,844,379"
- 감가상각누계액(손상 포함),"(1,131)","(11,402,716)","(118,352,148)",-,"(2,421,359)","(132,177,354)"
